wavelength_nm,flux_quiescent,flux_flare_component,flux_total_flare
0.19415751677321746,4.799064849406664e-280,4.7990648494066644e-282,4.847055497900731e-280
0.19464795809392335,4.738909354895139e-280,4.7389093548951394e-282,4.786298448444091e-280
0.19513963826797398,4.679507899687821e-280,4.679507899687822e-282,4.7263029786847e-280
0.19563256042470922,4.620851032025129e-280,4.620851032025129e-282,4.667059542345381e-280
0.19612672770137377,4.562929418623728e-280,4.562929418623728e-282,4.608558712809965e-280
0.1966221432431369,4.505733843191477e-280,4.505733843191476e-282,4.550791181623392e-280
0.19711881020311262,4.449255204960941e-280,4.4492552049609405e-282,4.49374775701055e-280
0.19761673174237968,4.393484517241332e-280,4.393484517241331e-282,4.437419362413746e-280
0.1981159110300017,4.33841290598855e-280,4.338412905988551e-282,4.381797035048436e-280
0.19861635124304736,4.284031608393206e-280,4.2840316083932055e-282,4.326871924477138e-280
0.1991180555666106,4.230331971486284e-280,4.230331971486284e-282,4.2726352912011467e-280
0.19962102719383085,4.177305450762331e-280,4.177305450762331e-282,4.2190785052699543e-280
0.20012526932591357,4.124943608819857e-280,4.124943608819856e-282,4.1661930449080556e-280
0.20063078517215024,4.07323811401884e-280,4.07323811401884e-282,4.113970495159028e-280
0.2011375779499391,4.022180739155006e-280,4.022180739155006e-282,4.062402546546556e-280
0.20164565088480554,3.9717633601507377e-280,3.971763360150738e-282,4.011480993752245e-280
0.20215500721042262,3.921977954762399e-280,3.9219779547623995e-282,3.961197734310023e-280
0.20266565016863164,3.872816601303877e-280,3.8728166013038775e-282,3.911544767316916e-280
0.20317758300946273,3.8242714773861e-280,3.824271477386101e-282,3.862514192159961e-280
0.20369080899115563,3.7763348586723654e-280,3.776334858672365e-282,3.8140982072590893e-280
0.2042053313801804,3.728999117649269e-280,3.72899911764927e-282,3.766289108825762e-280
0.20472115345125821,3.68225672241304e-280,3.68225672241304e-282,3.7190792896371705e-280
0.20523827848738208,3.6361002354711017e-280,3.6361002354711016e-282,3.6724612378258127e-280
0.20575670977983793,3.590522312558621e-280,3.590522312558621e-282,3.626427535684207e-280
0.20627645062822542,3.545515701469933e-280,3.5455157014699326e-282,3.580970858484632e-280
0.20679750434047905,3.501073240904583e-280,3.501073240904583e-282,3.536083973313629e-280
0.2073198742328891,3.4571878593278514e-280,3.457187859327851e-282,3.49175973792113e-280
0.20784356363012274,3.4138525738455546e-280,3.413852573845554e-282,3.4479910995840103e-280
0.20836857586524543,3.371060489092933e-280,3.371060489092933e-282,3.404771093983862e-280
0.20889491427974177,3.328804796137514e-280,3.3288047961375137e-282,3.362092844098889e-280
0.20942258222353693,3.287078771395682e-280,3.2870787713956816e-282,3.319949559109639e-280
0.20995158305501807,3.2458757755628393e-280,3.245875775562839e-282,3.2783345333184675e-280
0.21048192014105563,3.2051892525569837e-280,3.205189252556984e-282,3.2372411450825537e-280
0.21101359685702467,3.1650127284755407e-280,3.16501272847554e-282,3.196662855760296e-280
0.21154661658682655,3.125339810565237e-280,3.1253398105652374e-282,3.1565932086708894e-280
0.21208098272291023,3.086164186204928e-280,3.0861641862049277e-282,3.117025828066977e-280
0.21261669866629407,3.0474796219011374e-280,3.047479621901138e-282,3.0779544181201486e-280
0.21315376782658738,3.0092799622962187e-280,3.0092799622962185e-282,3.0393727619191807e-280
0.2136921936220121,2.971559129188921e-280,2.9715591291889213e-282,3.0012747204808104e-280
0.21423197947942466,2.93431112056726e-280,2.93431112056726e-282,2.9636542317729327e-280
0.2147731288343376,2.897530009653488e-280,2.8975300096534884e-282,2.9265053097500227e-280
0.21531564513094167,2.861209943961056e-280,2.8612099439610564e-282,2.8898220434006666e-280
0.2158595318221276,2.825345144363368e-280,2.8253451443633684e-282,2.853598595807001e-280
0.21640479236950805,2.7899299041742453e-280,2.7899299041742454e-282,2.817829203215988e-280
0.21695143024343982,2.7549585882398804e-280,2.754958588239881e-282,2.782508174122279e-280
0.21749944892304576,2.7204256320422077e-280,2.720425632042208e-282,2.7476298883626297e-280
0.21804885189623696,2.68632554081348e-280,2.6863255408134804e-282,2.7131887962216146e-280
0.2185996426597349,2.6526528886619805e-280,2.6526528886619805e-282,2.6791794175486004e-280
0.21915182471909395,2.619402317708636e-280,2.6194023177086365e-282,2.6455963408857224e-280
0.21970540158872337,2.5865685372345324e-280,2.5865685372345326e-282,2.6124342226068776e-280
0.22026037679190982,2.554146322839045e-280,2.5541463228390446e-282,2.5796877860674355e-280
0.2208167538608398,2.522130515608563e-280,2.5221305156085626e-282,2.547351820764649e-280
0.22137453633662205,2.4905160212956107e-280,2.490516021295611e-282,2.515421181508567e-280
0.2219337277693102,2.459297809508278e-280,2.4592978095082784e-282,2.4838907876033607e-280
0.22249433171792526,2.4284709129097927e-280,2.4284709129097927e-282,2.452755622038891e-280
0.2230563517504784,2.3980304264281364e-280,2.398030426428137e-282,2.422010730692418e-280
0.22361979144399344,2.3679715064755726e-280,2.367971506475573e-282,2.3916512215403283e-280
