time_btjd,flux,flux_err
1576.7021410160414,0.96644825,
1576.7229747630586,1.0291883,
1576.7438085096087,0.9568069,
1576.7646422554603,0.9769419,
1576.7854760006144,0.9391715,
1576.8063097453019,1.0039557,
1576.8271434895246,0.9592519,
1576.8479772330475,1.0754412,
1576.8688109761056,1.0592599,
1576.889644718698,1.0911258,
1576.9104784605915,1.0257049,
1576.9313122017875,1.0064008,
1576.9521459427506,1.0226568,
1576.9729796827824,0.97550696,
1576.9938134223476,0.9713936,
1577.0146471614476,0.92604357,
1577.0354808998495,0.95309347,
1577.056314637785,1.0028946,
1577.0771483752555,1.0176727,
1577.0979821117935,1.0569314,
1577.1188158480995,1.1926614,
1577.1396495837075,1.2178569,
1577.1604833186166,1.1431359,
1577.1813170530595,1.04095,
1577.2021507868044,1.0159687,
1577.2229845200836,0.97225386,
1577.2438182528963,0.963313,
1577.264651984778,0.94844234,
1577.2854857164266,1.0060612,
1577.3063194473775,0.971856,
1577.3271531776295,0.9943603,
1577.3479869074174,0.97983336,
1577.3688206365064,0.98945993,
1577.3896543648957,1.0494266,
1577.4104880928198,1.0457073,
1577.4313218202783,1.0040326,
1577.4521555470378,1.0034255,
1577.4729892730993,0.99207383,
1577.4938229986956,0.9983949,
1577.5146567235925,1.007533,
1577.5354904480241,0.9739553,
1577.5563241717568,0.96061546,
1577.5771578947915,1.0067652,
1577.5979916173605,1.0064672,
1577.618825339231,1.0259686,
1577.6396590606355,1.1085945,
1577.6604927813419,1.2081248,
1577.6813265013493,1.1915343,
1577.7021602208915,1.0988735,
1577.7229939397357,1.0771809,
1577.7438276578805,0.9994389,
1577.7646613755605,0.9833159,
1577.7854950925412,0.97571737,
1577.8063288088233,0.95714766,
1577.8271625246407,0.9628477,
1577.8479962397587,0.96556056,
1577.8688299544115,0.99869806,
1577.8896636681325,1.0078912,
1577.9104973813874,1.0388727,
1577.9313310941766,1.0229405,
1577.9521648060354,1.0164461,
1577.9729985174286,1.0509142,
1577.9938322281237,1.0311018,
1578.0146659383527,0.984948,
1578.0354996476494,0.96965754,
1578.0563333564814,0.98301756,
1578.0771670648473,0.9213463,
1578.0980007722824,0.9493636,
1578.118834479252,0.9849603,
1578.1396681855226,1.0027095,
1578.160501891095,1.0403535,
1578.1813355959684,1.1592965,
1578.2021693003771,1.2111441,
1578.2230030038536,1.2130543,
1578.2438367068644,1.1025662,
1578.2646704091767,0.97813725,
1578.2855041110233,1.0197916,
1578.3063378119386,0.9655545,
1578.3271715123883,0.97817874,
1578.3480052119075,0.9702932,
1578.3688389109607,0.99421614,
1578.3896726093153,1.0209808,
1578.4105063072038,0.9893645,
1578.4313400041615,0.9981759,
1578.4521737004206,1.0435948,
1578.4730073962137,1.0473225,
1578.4938410910759,1.0364633,
1578.5146747854724,1.0415651,
1578.5355084791704,1.0167576,
1578.556342172169,0.91861016,
1578.5771758642363,0.9884615,
1578.5980095558384,0.9797521,
1578.618843246742,0.96593004,
1578.6396769369467,0.93666315,
1578.6605106264533,1.0701902,
1578.6813443152623,0.99072874,
1578.7021780033724,1.0456358,
1578.7230116907836,1.1722952,
1578.7438453774967,1.2403883,
1578.7646790635115,1.2118561,
1578.7855127488274,1.0470755,
1578.8063464334446,1.0106351,
1578.8271801173637,1.0307937,
1578.8480138005843,0.9394285,
1578.8896811646955,0.98686695,
1578.9105148455878,0.9893882,
1578.9313485260145,0.98871356,
1578.9521822055094,1.0077715,
1578.9730158843065,1.0107356,
1578.9938495624046,1.0196695,
1579.0146832398045,1.0683829,
1579.035516916273,1.0470226,
1579.0563505922755,1.0100555,
1579.0771842673466,1.0059326,
1579.0980179417184,0.9834058,
1579.1188516153934,0.9623799,
1579.1396852881367,0.9521228,
1579.160518960181,0.9630717,
1579.1813526315277,0.953934,
1579.2021863021741,0.97133887,
1579.2230199721225,0.9937146,
1579.2438536411405,1.0836275,
1579.264687309459,1.1728027,
1579.2855209768463,1.2321247,
1579.3063546435365,1.1832267,
1579.3271883095276,1.0202776,
1579.3480219745866,0.9939367,
1579.3688556389484,0.9893771,
1579.3896893026103,0.9989898,
1579.4105229653414,0.9828248,
1579.4313566273736,0.9282099,
1579.4521902884753,1.0103489,
1579.4730239488786,1.0031837,
1579.4938576083505,0.97805756,
1579.5146912671235,1.0076029,
1579.5355249249656,1.1115949,
1579.5563585821085,1.020016,
1579.5771922383205,1.0393462,
1579.5980258938334,1.0260841,
1579.6188595484164,1.0398295,
1579.639693202067,1.01783,
1579.6605268550195,1.0022304,
1579.6813605070406,0.9867744,
1579.7021941581297,0.9292937,
1579.7230278085203,0.9914869,
1579.7438614579805,0.9758876,
1579.7646951065094,0.9930954,
1579.7855287541074,1.1077416,
1579.8063624010056,1.1796627,
1579.8271960469724,1.20066,
1579.848029692008,1.129296,
1579.8688633361126,0.99198014,
1579.8896969795187,0.9941342,
1579.9105306217616,0.99005485,
1579.9313642633044,0.95080394,
1579.9521979036836,0.955648,
1579.9730315433644,0.9790811,
1579.9938651821144,1.0264162,
1580.0146988197,0.9927349,
