time_hours,EF_NUV,n_O3_cm3,n_CH4_cm3,n_OH_cm3,vmr_O3,vmr_CH4,vmr_OH,dO3_frac,dCH4_frac,dOH_frac
-1.1415707853926964,1.0,88169651962.41179,529035948637.2456,293909.58299277164,2.999892210402654e-07,1.7999966950265817e-06,1.0000006226162607e-12,-3.592986578189355e-05,-1.8360963435113966e-06,6.226162609135488e-07
-1.1285642821410706,1.0,88169603991.74492,529035933919.63715,293909.58576369047,2.9998905782443474e-07,1.7999966449512576e-06,1.00000063204406e-12,-3.647391855087743e-05,-1.8639159680084404e-06,6.320440601908122e-07
-1.1155577788894449,1.0,88169556021.97029,529035919202.029,293909.58853455866,2.9998889461163983e-07,1.7999965948759346e-06,1.000000641471687e-12,-3.701796120061559e-05,-1.8917355919286328e-06,6.414716871678191e-07
-1.1025512756378189,1.0,88169508053.08788,529035904484.42114,293909.59130537615,2.999887314018806e-07,1.7999965448006125e-06,1.0000006508991414e-12,-3.7561993731454134e-05,-1.9195552152719735e-06,6.508991416465232e-07
-1.089544772386193,1.0,88169460085.09769,529035889766.81354,293909.59407614294,2.9998856819515705e-07,1.7999964947252913e-06,1.0000006603264236e-12,-3.810601614322001e-05,-1.9473748381538332e-06,6.603264236269246e-07
-1.0765382691345673,1.0,88169412117.99968,529035875049.2062,293909.5968468591,2.9998840499146907e-07,1.7999964446499709e-06,1.0000006697535332e-12,-3.865002843643239e-05,-1.9751944605742112e-06,6.697535333070696e-07
-1.0635317658829415,1.0,88169364151.79384,529035860331.5991,293909.5996175245,2.9998824179081664e-07,1.7999963945746517e-06,1.0000006791804702e-12,-3.919403061126432e-05,-2.0030140824177378e-06,6.791804702908656e-07
-1.0505252626313157,1.0,88169316186.48016,529035845613.9923,293909.6023881392,2.9998807859319966e-07,1.7999963444993331e-06,1.0000006886072347e-12,-3.9738022667715806e-05,-2.0308337037997834e-06,6.886072347763589e-07
-1.03751875937969,1.0,88169268222.05862,529035830896.38574,293909.6051587032,2.9998791539861813e-07,1.7999962944240154e-06,1.0000006980338268e-12,-4.028200460613296e-05,-2.0586533247203477e-06,6.980338269615957e-07
-1.024512256128064,1.0,88169220258.52922,529035816178.77954,293909.6079292166,2.9998775220707205e-07,1.7999962443486992e-06,1.0000007074602466e-12,-4.0825976426515776e-05,-2.0864729449486896e-06,7.074602466485297e-07
-1.0115057528764382,1.0,88169172295.8919,529035801461.1735,293909.61069967924,2.999875890185612e-07,1.7999961942733834e-06,1.0000007168864937e-12,-4.136993812938343e-05,-2.114292564830921e-06,7.168864938371611e-07
-0.9984992496248124,1.0,88169124334.1467,529035786743.5678,293909.61347009125,2.9998742583308565e-07,1.7999961441980686e-06,1.0000007263125686e-12,-4.191388971456286e-05,-2.1421121841363007e-06,7.263125687255359e-07
-0.9854927463731865,1.0,88169076373.29355,529035772025.96234,293909.61624045257,2.9998726265064523e-07,1.7999960941227547e-06,1.000000735738471e-12,-4.2457831182573225e-05,-2.1699318029801994e-06,7.357384711156081e-07
-0.9724862431215607,1.0,88169028413.33247,529035757308.3572,293909.6190107632,2.9998709947124004e-07,1.7999960440474419e-06,1.000000745164201e-12,-4.300176253324148e-05,-2.197751421247246e-06,7.451642010073776e-07
-0.959479739869935,1.0,88168980454.26343,529035742590.75226,293909.62178102316,2.999869362948699e-07,1.7999959939721296e-06,1.0000007545897585e-12,-4.354568376708679e-05,-2.2255710390528117e-06,7.545897585988905e-07
-0.9464732366183091,1.0,88168932496.08641,529035727873.14764,293909.62455123244,2.9998677312153474e-07,1.7999959438968187e-06,1.0000007640151435e-12,-4.4089594884109154e-05,-2.2533906562815257e-06,7.640151436921008e-07
-0.9334667333666833,1.0,88168884538.8014,529035713155.5433,293909.627321391,2.9998660995123463e-07,1.7999958938215086e-06,1.0000007734403562e-12,-4.4633495884481634e-05,-2.2812102730487584e-06,7.734403562870083e-07
-0.9204602301150575,1.0,88168836582.40839,529035698437.9392,293909.6300914989,2.9998644678396944e-07,1.7999958437461994e-06,1.0000007828653963e-12,-4.5177386768550324e-05,-2.3090298892391396e-06,7.828653963836131e-07
-0.9074537268634316,1.0,88168788626.90733,529035683720.3354,293909.63286155614,2.9998628361973906e-07,1.799995793670891e-06,1.0000007922902641e-12,-4.5721267536488295e-05,-2.33684950496804e-06,7.922902641799614e-07
-0.8944472236118058,1.0,88168740672.29825,529035669002.7318,293909.6356315627,2.999861204585435e-07,1.7999957435955836e-06,1.0000008017149593e-12,-4.626513818829554e-05,-2.3646691202354584e-06,8.01714959478007e-07
-0.8814407203601801,1.0,88168692718.58112,529035654285.12854,293909.6384015186,2.9998595730038274e-07,1.7999956935202771e-06,1.0000008111394824e-12,-4.680899872414512e-05,-2.3924887349260255e-06,8.111394824757962e-07
-0.8684342171085542,1.0,88168644765.75589,529035639567.5255,293909.64117142383,2.9998579414525664e-07,1.7999956434449715e-06,1.000000820563833e-12,-4.7352849144556194e-05,-2.4203083491551113e-06,8.205638331733289e-07
-0.8554277138569286,1.0,88168596813.82259,529035624849.9228,293909.6439412783,2.999856309931652e-07,1.799995593369667e-06,1.0000008299880108e-12,-4.789668944935571e-05,-2.4481279628073455e-06,8.299880109764664e-07
-0.8424212106053025,1.0,88168548862.78116,529035610132.3203,293909.6467110822,2.999854678441083e-07,1.7999955432943632e-06,1.0000008394120167e-12,-4.844051963906284e-05,-2.4759475759980985e-06,8.394120168754398e-07
-0.8294147073536767,1.0,88168500912.63162,529035595414.7181,293909.64948083536,2.9998530469808595e-07,1.7999954932190603e-06,1.00000084883585e-12,-4.8984339713504516e-05,-2.5037671887273705e-06,8.488358500780644e-07
-0.8164082041020511,1.0,88168452963.37393,529035580697.11615,293909.65225053794,2.9998514155509804e-07,1.7999954431437584e-06,1.000000858259511e-12,-4.952814967319992e-05,-2.5315868008797907e-06,8.582595111784787e-07
-0.8034017008504253,1.0,88168405015.00809,529035565979.5145,293909.65502018976,2.999849784151446e-07,1.7999953930684577e-06,1.0000008676829995e-12,-5.007194951814904e-05,-2.559406412455359e-06,8.676829995825441e-07
-0.7903951975987995,1.0,88168357067.53407,529035551261.91315,293909.65778979094,2.9998481527822545e-07,1.7999953429931575e-06,1.0000008771063155e-12,-5.061573924852493e-05,-2.5872260235694463e-06,8.771063156863529e-07
-0.7773886943471737,1.0,88168309120.95186,529035536544.312,293909.6605593415,2.999846521443406e-07,1.7999952929178584e-06,1.0000008865294593e-12,-5.115951886467371e-05,-2.6150456342220523e-06,8.865294594899054e-07
